"21917-42662","SF","Troy","Troy Williams","Williams","3.799999952316284","2","3000","HOU@IND","HOU","IND","","","",""
"21917-70830","C","Zhou","Zhou Qi","Qi","3.2000001271565757","6","3000","HOU@IND","HOU","IND","","","",""
"21917-58800","SF","Daniel","Daniel Hamilton","Hamilton","0","0","3000","DAL@OKC","OKC","DAL","","","",""
"21917-9649","C","Nick","Nick Collison","Collison","1.5","1","3000","DAL@OKC","OKC","DAL","","","",""
"21917-9778","PF","Josh","Josh McRoberts","McRoberts","13.172726717862217","22","3000","DAL@OKC","DAL","OKC","O","Lower body","",""
"21917-80818","PF","TJ","TJ Leaf","Leaf","8.308333079020182","12","3000","HOU@IND","IND","HOU","","","",""
"21917-12340","PF","Patrick","Patrick Patterson","Patterson","7.691666920979817","12","3000","DAL@OKC","OKC","DAL","","","",""
"21917-17332","PF","Tarik","Tarik Black","Black","8.449999809265137","8","3000","HOU@IND","HOU","IND","","","",""
"21917-41269","PG","Demetrius","Demetrius Jackson","Jackson","3.7444445292154946","9","3000","HOU@IND","HOU","IND","","","",""
"21917-80820","SG","Terrance","Terrance Ferguson","Ferguson","1.4249999523162842","8","3000","DAL@OKC","OKC","DAL","","","",""
"21917-80826","C","Ike","Ike Anigbogu","Anigbogu","2.3200000762939452","5","3000","HOU@IND","IND","HOU","","","",""
"21917-16191","SF","Josh","Josh Huestis","Huestis","7.322222391764323","9","3000","DAL@OKC","OKC","DAL","","","",""
"21917-14532","SF","Kyle","Kyle Singler","Singler","5.753125190734863","32","3000","DAL@OKC","OKC","DAL","","","",""
"21917-9932","SG","Damien","Damien Wilkins","Wilkins","2.987499952316284","8","3000","HOU@IND","IND","HOU","","","",""
"21917-20815","PG","Briante","Briante Weber","Weber","7.784999847412109","20","3000","HOU@IND","HOU","IND","","","",""
"21917-58584","PG","Gian","Gian Clavell","Clavell","5.483333587646484","6","3000","DAL@OKC","DAL","OKC","","","",""
"21917-74101","PG","Bobby","Bobby Brown","Brown","5.9375","8","3000","HOU@IND","HOU","IND","","","",""
"21917-15736","C","Jeff","Jeff Withey","Withey","3.4","5","3000","DAL@OKC","DAL","OKC","","","",""
"21917-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","5.328571319580078","7","3000","DAL@OKC","DAL","OKC","","","",""
"21917-23800","SF","Glenn","Glenn Robinson III","Robinson III","13.488405974014945","69","3000","HOU@IND","IND","HOU","O","Ankle","",""
"21917-41597","SF","Johnathan","Johnathan Motley","Motley","0","0","3000","DAL@OKC","DAL","OKC","","","",""
